,store_id,date,is_store_open,is_sale_period,town,n_cust_pred,revenue_pred
0,1,2012-02-03,1,1,Yepthton Beach,839.61536,8419.862
1,2,2012-02-03,1,1,Yepthton Beach,839.61536,8419.862
2,3,2012-02-03,1,1,Dukem,1131.1151,11783.347
3,4,2012-02-03,1,1,Yepthton Beach,1323.4988,10242.331
4,5,2012-02-03,1,1,Mount Trancesmi,770.7287,6707.0728
5,6,2012-02-03,1,1,Dukem,1131.1151,11783.347
6,7,2012-02-03,1,1,Dukem,1513.7925,14181.632
7,8,2012-02-03,1,1,Balntermou,818.66815,7983.1597
8,9,2012-02-03,1,1,Yepthton Beach,839.61536,8419.862
9,10,2012-02-03,1,1,Yepthton Beach,839.61536,8419.862
10,11,2012-02-03,1,1,Dukem,1606.8174,11783.347
11,12,2012-02-03,1,1,Dukem,1233.4525,11783.347
12,13,2012-02-03,1,1,Dukem,987.04346,11783.347
13,14,2012-02-03,1,1,Dukem,1131.1151,11783.347
14,15,2012-02-03,1,1,Yepthton Beach,839.61536,8419.862
15,16,2012-02-03,1,1,Dukem,1131.1151,11783.347
16,17,2012-02-03,1,1,Dukem,1131.1151,11783.347
17,18,2012-02-03,1,1,Yepthton Beach,839.61536,8419.862
18,19,2012-02-03,1,1,Psey Hill,391.26633,3804.2979
19,20,2012-02-03,1,1,Psey Hill,391.26633,3804.2979
20,21,2012-02-03,1,1,Yepthton Beach,839.61536,8419.862
21,22,2012-02-03,1,1,Dukem,1131.1151,10723.94
22,23,2012-02-03,1,1,Yepthton Beach,839.61536,8419.862
23,24,2012-02-03,1,1,Dukem,1131.1151,14346.603
24,25,2012-02-03,1,1,Psey Hill,639.4644,4679.296
25,26,2012-02-03,1,1,Rstonemond Hill,743.00757,7235.998
26,27,2012-02-03,1,1,Dukem,1451.4707,13840.507
27,28,2012-02-03,1,1,Dukem,1131.1151,11783.347
28,29,2012-02-03,1,1,Port Shep,770.7287,7235.998
29,30,2012-02-03,1,1,Balntermou,818.66815,7983.1597
